Generated by http://opendatacommunities.org,2021-09-24T11:28:33+00:00
http://opendatacommunities.org/data/societal-wellbeing/imd2019/indicesbyla,English Indices of Deprivation 2019 - Summaries at Local Authority Level
Indices of Deprivation,i. Income Deprivation Affecting Children Index (IDACI)
measure type,Average Score
Measure (cell values): ,Average Score

,,http://reference.data.gov.uk/id/year/2019
http://opendatacommunities.org/def/ontology/geography/refArea,Reference area,2019
http://opendatacommunities.org/id/geography/administration/ua/E06000022,Bath and North East Somerset,0.104
http://opendatacommunities.org/id/geography/administration/ua/E06000055,Bedford,0.151
http://opendatacommunities.org/id/geography/administration/ua/E06000008,Blackburn with Darwen,0.228
http://opendatacommunities.org/id/geography/administration/ua/E06000009,Blackpool,0.307
http://opendatacommunities.org/id/geography/administration/ua/E06000058,"Bournemouth, Christchurch and Poole",0.147
http://opendatacommunities.org/id/geography/administration/ua/E06000036,Bracknell Forest,0.089
http://opendatacommunities.org/id/geography/administration/ua/E06000043,Brighton and Hove,0.153
http://opendatacommunities.org/id/geography/administration/ua/E06000023,"Bristol, City of",0.206
http://opendatacommunities.org/id/geography/administration/ua/E06000056,Central Bedfordshire,0.114
http://opendatacommunities.org/id/geography/administration/ua/E06000049,Cheshire East,0.107
http://opendatacommunities.org/id/geography/administration/ua/E06000050,Cheshire West and Chester,0.145
http://opendatacommunities.org/id/geography/administration/ua/E06000052,Cornwall,0.164
http://opendatacommunities.org/id/geography/administration/ua/E06000047,County Durham,0.222
http://opendatacommunities.org/id/geography/administration/ua/E06000005,Darlington,0.203
http://opendatacommunities.org/id/geography/administration/ua/E06000015,Derby,0.211
http://opendatacommunities.org/id/geography/administration/ua/E06000059,Dorset,0.121
http://opendatacommunities.org/id/geography/administration/ua/E06000011,East Riding of Yorkshire,0.118
http://opendatacommunities.org/id/geography/administration/ua/E06000006,Halton,0.239
http://opendatacommunities.org/id/geography/administration/ua/E06000001,Hartlepool,0.283
http://opendatacommunities.org/id/geography/administration/ua/E06000019,"Herefordshire, County of",0.124
http://opendatacommunities.org/id/geography/administration/ua/E06000046,Isle of Wight,0.18
http://opendatacommunities.org/id/geography/administration/ua/E06000053,Isles of Scilly,0.032
http://opendatacommunities.org/id/geography/administration/ua/E06000010,"Kingston upon Hull, City of",0.298
http://opendatacommunities.org/id/geography/administration/ua/E06000016,Leicester,0.242
http://opendatacommunities.org/id/geography/administration/ua/E06000032,Luton,0.196
http://opendatacommunities.org/id/geography/administration/ua/E06000035,Medway,0.189
http://opendatacommunities.org/id/geography/administration/ua/E06000002,Middlesbrough,0.327
http://opendatacommunities.org/id/geography/administration/ua/E06000042,Milton Keynes,0.15
http://opendatacommunities.org/id/geography/administration/ua/E06000012,North East Lincolnshire,0.274
http://opendatacommunities.org/id/geography/administration/ua/E06000013,North Lincolnshire,0.183
http://opendatacommunities.org/id/geography/administration/ua/E06000024,North Somerset,0.124
http://opendatacommunities.org/id/geography/administration/ua/E06000057,Northumberland,0.174
http://opendatacommunities.org/id/geography/administration/ua/E06000018,Nottingham,0.298
http://opendatacommunities.org/id/geography/administration/ua/E06000031,Peterborough,0.208
http://opendatacommunities.org/id/geography/administration/ua/E06000026,Plymouth,0.203
http://opendatacommunities.org/id/geography/administration/ua/E06000044,Portsmouth,0.202
http://opendatacommunities.org/id/geography/administration/ua/E06000038,Reading,0.16
http://opendatacommunities.org/id/geography/administration/ua/E06000003,Redcar and Cleveland,0.256
http://opendatacommunities.org/id/geography/administration/ua/E06000017,Rutland,0.072
http://opendatacommunities.org/id/geography/administration/ua/E06000051,Shropshire,0.12
http://opendatacommunities.org/id/geography/administration/ua/E06000039,Slough,0.147
http://opendatacommunities.org/id/geography/administration/ua/E06000025,South Gloucestershire,0.104
http://opendatacommunities.org/id/geography/administration/ua/E06000045,Southampton,0.205
http://opendatacommunities.org/id/geography/administration/ua/E06000033,Southend-on-Sea,0.192
http://opendatacommunities.org/id/geography/administration/ua/E06000004,Stockton-on-Tees,0.209
http://opendatacommunities.org/id/geography/administration/ua/E06000021,Stoke-on-Trent,0.257
http://opendatacommunities.org/id/geography/administration/ua/E06000030,Swindon,0.149
http://opendatacommunities.org/id/geography/administration/ua/E06000020,Telford and Wrekin,0.213
http://opendatacommunities.org/id/geography/administration/ua/E06000034,Thurrock,0.186
http://opendatacommunities.org/id/geography/administration/ua/E06000027,Torbay,0.219
http://opendatacommunities.org/id/geography/administration/ua/E06000007,Warrington,0.132
http://opendatacommunities.org/id/geography/administration/ua/E06000037,West Berkshire,0.087
http://opendatacommunities.org/id/geography/administration/ua/E06000054,Wiltshire,0.102
http://opendatacommunities.org/id/geography/administration/ua/E06000040,Windsor and Maidenhead,0.067
http://opendatacommunities.org/id/geography/administration/ua/E06000041,Wokingham,0.056
http://opendatacommunities.org/id/geography/administration/ua/E06000014,York,0.1
http://opendatacommunities.org/id/geography/administration/nmd/E07000223,Adur,0.143
http://opendatacommunities.org/id/geography/administration/nmd/E07000026,Allerdale,0.151
http://opendatacommunities.org/id/geography/administration/nmd/E07000032,Amber Valley,0.15
http://opendatacommunities.org/id/geography/administration/nmd/E07000224,Arun,0.136
http://opendatacommunities.org/id/geography/administration/nmd/E07000170,Ashfield,0.219
http://opendatacommunities.org/id/geography/administration/nmd/E07000105,Ashford,0.154
http://opendatacommunities.org/id/geography/administration/nmd/E07000004,Aylesbury Vale,0.089
http://opendatacommunities.org/id/geography/administration/nmd/E07000200,Babergh,0.109
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham,0.238
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet,0.126
http://opendatacommunities.org/id/geography/administration/md/E08000016,Barnsley,0.225
http://opendatacommunities.org/id/geography/administration/nmd/E07000027,Barrow-in-Furness,0.199
http://opendatacommunities.org/id/geography/administration/nmd/E07000066,Basildon,0.197
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,Basingstoke and Deane,0.099
http://opendatacommunities.org/id/geography/administration/nmd/E07000171,Bassetlaw,0.164
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley,0.16
http://opendatacommunities.org/id/geography/administration/md/E08000025,Birmingham,0.276
http://opendatacommunities.org/id/geography/administration/nmd/E07000129,Blaby,0.088
http://opendatacommunities.org/id/geography/administration/nmd/E07000033,Bolsover,0.204
http://opendatacommunities.org/id/geography/administration/md/E08000001,Bolton,0.219
http://opendatacommunities.org/id/geography/administration/nmd/E07000136,Boston,0.161
http://opendatacommunities.org/id/geography/administration/md/E08000032,Bradford,0.225
http://opendatacommunities.org/id/geography/administration/nmd/E07000067,Braintree,0.122
http://opendatacommunities.org/id/geography/administration/nmd/E07000143,Breckland,0.129
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent,0.182
http://opendatacommunities.org/id/geography/administration/nmd/E07000068,Brentwood,0.089
http://opendatacommunities.org/id/geography/administration/nmd/E07000144,Broadland,0.086
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley,0.131
http://opendatacommunities.org/id/geography/administration/nmd/E07000234,Bromsgrove,0.095
http://opendatacommunities.org/id/geography/administration/nmd/E07000095,Broxbourne,0.155
http://opendatacommunities.org/id/geography/administration/nmd/E07000172,Broxtowe,0.13
http://opendatacommunities.org/id/geography/administration/nmd/E07000117,Burnley,0.255
http://opendatacommunities.org/id/geography/administration/md/E08000002,Bury,0.169
http://opendatacommunities.org/id/geography/administration/md/E08000033,Calderdale,0.196
http://opendatacommunities.org/id/geography/administration/nmd/E07000008,Cambridge,0.122
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden,0.193
http://opendatacommunities.org/id/geography/administration/nmd/E07000192,Cannock Chase,0.172
http://opendatacommunities.org/id/geography/administration/nmd/E07000106,Canterbury,0.147
http://opendatacommunities.org/id/geography/administration/nmd/E07000028,Carlisle,0.149
http://opendatacommunities.org/id/geography/administration/nmd/E07000069,Castle Point,0.154
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,Charnwood,0.122
http://opendatacommunities.org/id/geography/administration/nmd/E07000070,Chelmsford,0.108
http://opendatacommunities.org/id/geography/administration/nmd/E07000078,Cheltenham,0.13
http://opendatacommunities.org/id/geography/administration/nmd/E07000177,Cherwell,0.105
http://opendatacommunities.org/id/geography/administration/nmd/E07000034,Chesterfield,0.202
http://opendatacommunities.org/id/geography/administration/nmd/E07000225,Chichester,0.107
http://opendatacommunities.org/id/geography/administration/nmd/E07000005,Chiltern,0.061
http://opendatacommunities.org/id/geography/administration/nmd/E07000118,Chorley,0.12
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London,0.071
http://opendatacommunities.org/id/geography/administration/nmd/E07000071,Colchester,0.148
