new_la_code,la_name,year,cla_rate,imd_score
E06000005,Darlington,2012,90,23.639
E06000047,Durham,2012,66,25.741
E08000020,Gateshead,2012,95,25.932
E06000001,Hartlepool,2012,85,33.178
E06000002,Middlesbrough,2012,111,40.216
E08000021,Newcastle upon Tyne,2012,101,28.264
E08000022,North Tyneside,2012,74,21.279
E06000048,Northumberland,2012,45,20.525
E06000003,Redcar and Cleveland,2012,62,28.567
E08000023,South Tyneside,2012,107,30.608
E06000004,Stockton-on-Tees,2012,80,24.625
E08000024,Sunderland,2012,71,29.725
E06000008,Blackburn with Darwen,2012,93,34.189
E06000009,Blackpool,2012,150,41.997
E08000001,Bolton,2012,80,28.42
E08000002,Bury,2012,78,21.769
E06000049,Cheshire East,2012,59,14.132
E06000050,Cheshire West and Chester,2012,56,18.086
E10000006,Cumbria,2012,62,21.331
E06000006,Halton,2012,44,31.943
E08000011,Knowsley,2012,78,41.387
E10000017,Lancashire,2012,54,22.495
E08000012,Liverpool,2012,105,41.126
E08000003,Manchester,2012,121,40.512
E08000004,Oldham,2012,57,30.291
E08000005,Rochdale,2012,88,33.684
E08000006,Salford,2012,109,32.959
E08000014,Sefton,2012,73,25.732
E08000013,St. Helens,2012,92,29.809
E08000007,Stockport,2012,49,19.108
E08000008,Tameside,2012,80,29.38
E08000009,Trafford,2012,53,15.388
E06000007,Warrington,2012,54,19.312
E08000010,Wigan,2012,71,24.857
E08000015,Wirral,2012,99,26.892
E08000016,Barnsley,2012,47,29.568
E08000032,Bradford,2012,66,33.168
E08000033,Calderdale,2012,78,24.607
E08000017,Doncaster,2012,78,29.051
E06000011,East Riding of Yorkshire,2012,49,15.792
E06000010,Kingston upon Hull City of,2012,113,41.235
E08000034,Kirklees,2012,66,23.964
E08000035,Leeds,2012,95,26.623
E06000012,North East Lincolnshire,2012,45,30.898
E06000013,North Lincolnshire,2012,48,21.363
E10000023,North Yorkshire,2012,41,14.646
E08000018,Rotherham,2012,68,28.279
E08000019,Sheffield,2012,54,27.568
E08000036,Wakefield,2012,64,26.892
E06000014,York,2012,72,12.219
E06000015,Derby,2012,84,27.79
E10000007,Derbyshire,2012,45,18.515
E06000016,Leicester,2012,67,33.065
E10000018,Leicestershire,2012,28,12.457
E10000019,Lincolnshire,2012,36,20.609
E10000021,Northamptonshire,2012,51,18.936
E06000018,Nottingham,2012,86,36.927
E10000024,Nottinghamshire,2012,49,18.85
E06000017,Rutland,2012,36,9.621
E08000025,Birmingham,2012,69,37.768
E08000026,Coventry,2012,81,28.107
E08000027,Dudley,2012,100,22.958
E06000019,Herefordshire,2012,59,19.737
E08000028,Sandwell,2012,78,34.614
E06000051,Shropshire,2012,34,16.689
E08000029,Solihull,2012,81,17.238
E10000028,Staffordshire,2012,52,16.38
E06000021,Stoke-on-Trent,2012,81,34.36
E06000020,Telford and Wrekin,2012,77,24.852
E08000030,Walsall,2012,77,30.37
E10000031,Warwickshire,2012,61,15.006
E08000031,Wolverhampton,2012,102,33.183
E10000034,Worcestershire,2012,52,17.704
E06000055,Bedford,2012,60,19.238
E06000056,Central Bedfordshire,2012,37,12.201
E10000003,Cambridgeshire,2012,36,13.393
E10000012,Essex,2012,50,17.163
E10000015,Hertfordshire,2012,42,12.192
E06000032,Luton,2012,74,27.577
E10000020,Norfolk,2012,61,21.158
E06000031,Peterborough,2012,77,27.659
E06000033,Southend-on-Sea,2012,64,24.516
E10000029,Suffolk,2012,51,18.314
E06000034,Thurrock,2012,62,21.603
E09000007,Camden,2012,67,24.959
E09000012,Hackney,2012,56,35.28
E09000013,Hammersmith and Fulham,2012,70,24.362
E09000014,Haringey,2012,100,31.043
E09000019,Islington,2012,91,32.534
E09000020,Kensington and Chelsea,2012,52,23.376
