state,poverty,n_statewide,n_anti_immigrant,n_anti_lgbtq,n_anti_muslim,n_christian_identity,n_general_hate,n_hate_music,n_ku_klux_klan,n_neo_nazi,n_neo_volkisch,n_racist_skinhead,n_white_nationalist,hq_general_hate,hq_ku_klux_klan,hq_neo_nazi,hq_neo_volkisch,hq_white_nationalist,hq_anti_immigrant,hq_anti_lgbtq,hq_anti_muslim,hq_hate_music,hq_racist_skinhead,hq_christian_identity,state_abbrev,income_inequality,trust,life_expectancy,infant_mortality,obesity,mental_health,maths_and_literacy_scores,teenage_births,homicides,imprisonment,index_of_health_social_problems,overweight_children,child_wellbeing,womens_status,juvenile_homicides,high_school_drop_outs,child_mental_illness,pugnacity,n_anti_immigrant_mt1,n_anti_lgbtq_mt1,n_anti_muslim_mt1,n_christian_identity_mt1,n_general_hate_mt1,n_hate_music_mt1,n_ku_klux_klan_mt1,n_neo_nazi_mt1,n_neo_volkisch_mt1,n_racist_skinhead_mt1,n_white_nationalist_mt1,population,lat,long,age_percent_65_and_older,miscellaneous_percent_female,ethnicities_white_alone,ethnicities_black_alone,hous_value,income_median_houseold_income,housing_households_with_a_internet,education_bachelors_degree_or_higher,employment_firms_minority_owned,rep_percent,rep_pop
Alabama,15.6,6,0,0,0,0,8,0,1,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,AL,0.47,23,74.6,9.1,32,3.3,257.5,62.9,78.9,509,1.38,35,8.5,-0.93,12,24.7,11.5,41.84,0,0,0,0,1,0,0,0,1,0,1,49.03185,32.377716,-86.300568,17.3,51.7,69.1,26.8,1.427,50536,76.4,25.5,0.92219,62,TRUE
Alaska,10.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0.4,NA,76.7,5.5,30,2.8,267.5,42.4,85.6,413,0.14,31,4.4,0.74,8,11.7,8.2,NA,0,0,0,0,0,0,0,0,0,0,0,7.31545,58.301598,-134.420212,12.5,47.9,65.3,3.7,2.704,77640,85.5,29.6,0.13688,52.8,TRUE
Arizona,13.5,10,2,5,2,0,6,1,0,5,1,2,2,0,0,1,1,0,1,1,1,1,0,0,AZ,0.45,47,77.5,6.4,28.5,2.2,263,69.1,80.4,507,0.21,30,4.9,-0.15,7,19,8.7,36.35,1,1,1,0,1,0,0,1,0,1,1,72.78717,33.448143,-112.096962,18,50.3,82.6,5.2,2.255,58945,84.1,29.5,1.35313,49.1,FALSE
Arkansas,16,5,0,0,1,2,4,1,1,1,0,1,2,0,1,0,0,1,0,0,0,1,1,1,AR,0.46,29,75.1,8.3,31,3.2,262,68.5,56.1,415,0.95,33,9.3,-1.32,6,24.7,11.8,38.36,0,0,0,1,1,0,0,0,0,0,1,30.17804,34.746613,-92.288986,17.4,50.9,79,15.7,1.278,47597,73,23,0.35982,62.4,TRUE
California,11.8,13,2,10,11,0,26,1,0,2,2,5,12,1,0,1,1,1,1,1,1,1,1,0,CA,0.47,43,78.3,5.5,31,3.3,259,48.5,60.5,478,0.33,30,-3.4,0.97,10,23.2,7.5,37.71,1,1,1,0,1,0,0,1,1,1,1,395.12223,38.576668,-121.493629,14.8,50.3,71.9,6.5,5.05,75235,86.7,33.9,16.19857,34.3,FALSE
Colorado,9.4,7,1,2,2,1,5,0,0,3,1,0,2,1,0,1,0,0,1,1,1,0,0,1,CO,0.44,46,78.4,6.1,21.5,3.3,275.5,49.2,45.6,357,-0.51,22,-1.1,1.05,4,13.1,7.2,39.45,0,1,1,0,1,0,0,1,0,0,1,57.58736,39.739227,-104.984856,14.6,49.6,86.9,4.6,3.433,72331,87.6,40.9,0.85849,41.9,FALSE
Connecticut,9.9,3,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,CT,0.48,49,78.4,6.5,26.5,2.7,275.5,31.9,32.6,372,-0.66,27,-11.2,1.5,4,16,8.9,39.23,0,0,1,0,1,0,0,0,0,0,1,35.65287,41.764046,-72.682198,17.7,51.2,79.7,12.2,2.754,78444,85.5,39.3,0.56113,39.2,FALSE
Delaware,11.2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,0.43,NA,76.6,8.7,27,3.1,271,51.6,31.8,429,0.13,35,1.4,0.9,0,17.4,8.6,33.33,0,0,0,0,1,0,0,0,0,0,0,9.73764,39.157307,-75.519722,19.4,51.7,69.2,23.2,2.511,68287,85,32,0.1444,39.8,FALSE
District of Columbia,14.1,0,4,1,3,0,8,0,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,1,7.05749,38.89511,-77.03637,12.4,52.6,46,46,6.015,86420,82.6,58.5,0.29983,5.4,FALSE
Florida,12.7,14,2,5,7,1,32,0,2,3,1,4,6,1,0,1,0,1,1,1,1,0,1,1,FL,0.47,37,77.5,7.5,27.5,3.3,264,52.6,56.8,447,0.36,32,2.4,-0.46,NA,20.1,9.3,37.28,1,1,1,0,1,0,1,1,0,1,1,214.77737,30.438118,-84.281296,20.9,51.1,77.3,16.9,2.153,55660,83,29.9,9.26112,51.2,TRUE
Georgia,13.5,3,1,2,0,1,16,0,1,0,0,0,6,1,1,0,0,1,1,1,0,0,0,1,GA,0.46,38,75.3,8.9,30.5,3,264,64.2,74.9,502,0.9,32,8.6,-0.29,8,21.4,8.9,41.44,0,1,0,0,1,0,0,0,0,0,1,106.17423,33.749027,-84.388229,14.3,51.4,60.2,32.6,1.76,58700,81.3,31.3,3.71588,49.3,FALSE
Hawaii,9,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HI,0.43,NA,79.8,7.3,28,2.3,258.5,45.1,37.1,307,-0.39,27,-2.2,0.22,0,15.4,7.6,NA,0,0,0,0,1,0,0,0,0,0,0,14.15872,21.307442000000002,-157.857376,19,50,25.5,2.2,6.153,81275,84.8,33,0.74208,34.3,FALSE
Idaho,11,3,0,0,2,0,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,ID,0.43,NA,78,6.1,27,3.2,272,43.1,20.1,330,-0.43,26,-2.3,-0.96,2,15.3,9,41.97,0,0,1,0,1,0,0,0,0,0,0,17.87065,43.617775,-116.199722,16.3,49.9,93,0.9,2.123,55785,82.7,27.6,0.10592,63.9,TRUE
Illinois,11.4,5,0,4,2,1,8,0,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,1,IL,0.46,44,76.7,7.4,32,2.6,271.5,49.5,77.3,357,0.21,31,-1.4,0.24,43,18.6,7.5,37.4,0,1,1,0,1,0,0,1,0,0,0,126.71821,39.798363,-89.654961,16.1,50.9,76.8,14.6,1.945,65886,82.7,34.7,3.11684,40.6,FALSE
Indiana,11.9,9,0,1,1,0,5,0,3,2,1,1,4,0,1,0,0,1,0,1,0,0,0,0,IN,0.42,43,76.2,7.7,31,3.4,273,50.3,65.8,321,0.37,33,2,-0.25,4,17.9,9.2,36.38,0,0,0,0,1,0,1,1,0,0,1,67.32219,39.768623,-86.162643,16.1,50.7,84.8,9.9,1.417,56303,80.1,26.5,0.61252,57,TRUE
Iowa,11,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,IA,0.42,56,78.5,5.3,28.5,2.7,276,34.7,15,258,-0.89,26,-11.1,-0.02,0,13.9,7.2,31.98,0,0,0,0,0,0,0,0,0,0,0,31.5507,41.591087,-93.603729,17.5,50.2,90.6,4.1,1.478,60523,80.8,28.6,0.14707,53.1,TRUE
Kansas,11.3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,KS,0.44,55,77.5,7.1,29,2.5,275,45.3,40.4,310,-0.44,30,-5.2,0.55,NA,14,10.2,35.16,0,0,0,0,0,0,0,0,0,0,0,29.13314,39.048191,-95.677956,16.3,50.2,86.3,6.1,1.519,59597,81.8,33.4,0.26127,56.2,TRUE
Kentucky,16,5,0,0,0,1,5,0,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,KY,0.47,32,75.3,7.2,31.5,4.3,270,55.3,53.5,379,0.87,38,7.1,-1.01,26,25.9,11.4,37.86,0,0,0,0,1,0,0,1,0,0,1,44.67673,38.186722,-84.875374,16.8,50.7,87.5,8.5,1.41,50589,78.4,24.2,0.27258,62.1,TRUE
