community_safety_partnership_code,community_safety_partnership_name,violence_against_the_person,sexual_offences,robbery,theft_offences,vehicle_offences,criminal_damage_and_arson,drug_offences,public_order_offences
E22000001,Bath and North East Somerset,18.26,1.89,0.54,17.18,4.19,6.47,1.4,7.7
E22000002,"Bristol, City of",34.46,3.13,1.91,32.01,9.63,11.8,2.81,15.93
E22000003,North Somerset,25.58,2.01,0.49,14.89,4.14,6.54,1.83,9.63
E22000369,Somerset,25.08,2.27,0.37,13.4,2.43,7.45,1.58,9.92
E22000006,South Gloucestershire,19.53,1.9,0.44,16.59,3.95,6.13,1.42,7
E22000009,Bedford,29.1,2.46,0.86,27.36,8,8.07,2.51,8.87
E22000353,Central Bedfordshire,17.62,1.36,0.51,17.84,5.57,5.38,1.2,5.88
E22000010,Luton,32.77,2.27,1.18,25.13,7.89,8.35,4.02,9.75
E22000013,Cambridge,30.43,2.83,1.08,38.34,4.69,8.6,3.09,10.57
E22000014,East Cambridgeshire,19.04,1.76,0.24,14.59,3.43,5.69,0.85,5.3
E22000015,Fenland,29.52,2.49,0.47,17.55,3.2,8.52,1.69,7.39
E22000016,Huntingdonshire,21.21,2.11,0.28,15.43,3.65,6.11,2.48,5.38
E22000017,Peterborough,39.71,3.53,1.43,27.5,6.94,10.92,3.6,10.66
E22000018,South Cambridgeshire,15.24,1.37,0.15,13.39,3.57,4.97,1.13,4.12
E22000354,Cheshire East,33.23,2.61,0.31,14.72,2.12,6.6,1.38,12.28
E22000355,Cheshire West and Chester,36.79,2.84,0.28,13.68,1.57,7.6,1.65,14.41
E22000023,Halton,50.44,3.51,0.64,17.09,2.9,10.15,2.99,18.47
E22000026,Warrington,37.88,3.11,0.55,16.98,3.29,7.77,1.63,14.55
E22000027,Hartlepool,46.36,3.9,0.8,30.98,4.37,15.7,4.82,12.59
E22000029,Middlesbrough,57.65,4.67,1.74,39.36,7.96,21.5,6.41,17.11
E22000028,Redcar and Cleveland,37.04,2.89,0.62,26.12,4.57,15.95,2.46,10.03
E22000030,Stockton-on-Tees,39.39,3.53,0.82,20.75,2.98,12.71,3.44,10.91
E22000031,Allerdale,27.94,2.78,0.29,11.68,1.36,9.11,2.53,7.96
E22000032,Barrow-in-Furness,39.92,3.43,0.31,13.37,1.03,11.58,2.98,10.55
