Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"E06000047",28435,,31894,,
"E06000005",6361,,6989,,
"E06000001",6367,,6710,,
"E06000002",13940,,15124,,
"E06000057",14665,,16267,,
"E06000003",8107,,9258,,
"E06000004",11456,,12670,,
"E08000037",10828,,12220,,
"E08000021",19276,,20701,,
"E08000022",9958,,11062,,
"E08000023",9744,,10323,,
"E08000024",16661,,18423,,
"E06000008",15847,,14660,,
"E06000009",8091,,7690,,
"E06000049",10674,,10129,,
"E06000050",11000,,10235,,
"E06000006",5964,,5250,,
"E06000007",7138,,6598,,
"E07000026",3335,,3206,,
"E07000027",2830,,2534,,
"E07000028",4295,,3876,,
"E07000029",2231,,2027,,
"E07000030",1574,,1579,,
"E07000031",2482,,2425,,
"E08000001",25157,,23926,,
"E08000002",10656,,10303,,
"E08000003",47173,,44734,,
"E08000004",24818,,23723,,
"E08000005",17560,,17038,,
"E08000006",15118,,14141,,
"E08000007",10395,,10059,,
"E08000008",13490,,12427,,
"E08000009",7657,,7303,,
"E08000010",14629,,13672,,
"E07000117",7495,,7084,,
"E07000118",3823,,3499,,
"E07000119",2214,,2063,,
"E07000120",6871,,6349,,
"E07000121",5063,,4547,,
"E07000122",9168,,8745,,
"E07000123",9040,,8448,,
"E07000124",1340,,1376,,
"E07000125",3698,,3462,,
"E07000126",3502,,3339,,
"E07000127",3966,,3811,,
"E07000128",3687,,3539,,
"E08000011",8406,,7809,,
"E08000012",27509,,25638,,
"E08000014",9988,,9501,,
"E08000013",7685,,7124,,
"E08000015",12661,,11723,,
"E06000011",11493,,11554,,
"E06000010",20585,,20694,,
"E06000012",10086,,9797,,
"E06000013",8909,,8909,,
"E06000014",5065,,5177,,
"E07000163",1418,,1519,,
"E07000164",2135,,2147,,
"E07000165",3329,,3365,,
"E07000166",1387,,1322,,
"E07000167",1678,,1684,,
"E07000168",4823,,4756,,
"E07000169",2739,,2894,,
"E08000016",13258,,13438,,
"E08000017",18883,,18920,,
"E08000018",16175,,16138,,
"E08000019",33195,,34219,,
"E08000032",60487,,60037,,
"E08000033",12301,,12242,,
"E08000034",31026,,31216,,
"E08000035",45004,,45726,,
"E08000036",17479,,17631,,
"E06000015",15553,,14361,,
"E06000016",30394,,26898,,
"E06000061",13380,,12088,,
"E06000018",20792,,18904,,
"E06000017",757,,709,,
"E06000062",14034,,13858,,
"E07000032",3873,,3533,,
"E07000033",3125,,2870,,
"E07000034",3881,,3416,,
"E07000035",1565,,1508,,
"E07000036",3410,,3121,,
"E07000037",2496,,2258,,
"E07000038",2965,,2806,,
"E07000039",3238,,3124,,
"E07000129",2735,,2671,,
"E07000130",5274,,4711,,
"E07000131",1869,,1918,,
"E07000132",3020,,2888,,
"E07000133",1296,,1185,,
"E07000134",2941,,2822,,
"E07000135",1818,,1725,,
"E07000136",3411,,2825,,
"E07000137",5698,,5043,,
"E07000138",4257,,3790,,
"E07000139",3119,,2876,,
"E07000140",3583,,3225,,
"E07000141",4383,,4002,,
"E07000142",3311,,3027,,
"E07000170",5475,,5091,,
"E07000171",4569,,4224,,
"E07000172",3281,,3023,,
"E07000173",3590,,3415,,
"E07000174",4725,,4118,,
"E07000175",4304,,3883,,
"E07000176",2071,,2031,,
"E06000019",6674,,6572,,
"E06000051",10962,,11038,,
"E06000021",21760,,20741,,
"E06000020",10050,,9593,,
"E07000192",4602,,4699,,
"E07000193",6599,,6432,,
"E07000194",3064,,3004,,
"E07000195",5003,,4903,,
"E07000196",3228,,3139,,
"E07000197",4273,,4183,,
"E07000198",3095,,2970,,
"E07000199",3457,,3382,,
"E07000218",2348,,2381,,
"E07000219",6091,,5682,,
"E07000220",3482,,3096,,
"E07000221",3003,,3000,,
"E07000222",3167,,3147,,
"E08000025",118998,,113675,,
"E08000026",21480,,20317,,
"E08000027",19493,,18855,,
"E08000028",31709,,29875,,
"E08000029",7167,,6996,,
"E08000030",24158,,23282,,
"E08000031",21285,,20009,,
"E07000234",2494,,2549,,
"E07000235",2292,,2269,,
"E07000236",3959,,3986,,
"E07000237",4738,,4487,,
"E07000238",4016,,3912,,
"E07000239",4562,,4223,,
"E06000055",7562,,6713,,
"E06000056",7898,,7636,,
"E06000032",19885,,18399,,
"E06000031",15766,,13786,,
"E06000033",6855,,6162,,
"E06000034",8173,,7579,,
"E07000008",3147,,2743,,
"E07000009",2151,,1965,,
"E07000010",4766,,4176,,
"E07000011",4944,,4562,,
"E07000012",3433,,3044,,
"E07000066",7894,,7414,,
"E07000067",5085,,4605,,
"E07000068",1762,,1634,,
"E07000069",2719,,2599,,
"E07000070",4402,,4041,,
"E07000071",6334,,5709,,
"E07000072",3732,,3751,,
"E07000073",4387,,4114,,
"E07000074",1717,,1664,,
"E07000075",2143,,2027,,
"E07000076",5619,,4902,,
"E07000077",2008,,1977,,
"E07000095",3300,,3137,,
"E07000096",4358,,3963,,
"E07000242",2936,,2770,,
"E07000098",2584,,2564,,
"E07000099",3429,,3174,,
